sequence,run_id,repetition,cell,candidate,scenario,cwd,sandbox,prompt_sha256,status
1,r1-c01-b0,1,01,B0,S1,.,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
2,r1-c01-b1,1,01,B1,S1,.,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
3,r1-c01-b2,1,01,B2,S1,.,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
4,r1-c01-b3,1,01,B3,S1,.,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
5,r1-c02-b0,1,02,B0,S2,.,read-only,85bcf67ca6e729d35008289122f693387f475439061554ef91ea64520a6de6b0,PLANNED
6,r1-c02-b1,1,02,B1,S2,.,read-only,85bcf67ca6e729d35008289122f693387f475439061554ef91ea64520a6de6b0,PLANNED
7,r1-c02-b2,1,02,B2,S2,.,read-only,85bcf67ca6e729d35008289122f693387f475439061554ef91ea64520a6de6b0,PLANNED
8,r1-c02-b3,1,02,B3,S2,.,read-only,85bcf67ca6e729d35008289122f693387f475439061554ef91ea64520a6de6b0,PLANNED
9,r1-c03-b0,1,03,B0,S3,.,read-only,c88faa7be3dcb900f8c7710be4bd3f3ac3cbe823f237dd93e13f76515cab1ce1,PLANNED
10,r1-c03-b1,1,03,B1,S3,.,read-only,c88faa7be3dcb900f8c7710be4bd3f3ac3cbe823f237dd93e13f76515cab1ce1,PLANNED
11,r1-c03-b2,1,03,B2,S3,.,read-only,c88faa7be3dcb900f8c7710be4bd3f3ac3cbe823f237dd93e13f76515cab1ce1,PLANNED
12,r1-c03-b3,1,03,B3,S3,.,read-only,c88faa7be3dcb900f8c7710be4bd3f3ac3cbe823f237dd93e13f76515cab1ce1,PLANNED
13,r1-c04-b0,1,04,B0,S4,.,read-only,27d67cae9dd92b50bf5698fbc8bb006d035cfd7ba0e7b32562e091240f4f569c,PLANNED
14,r1-c04-b1,1,04,B1,S4,.,read-only,27d67cae9dd92b50bf5698fbc8bb006d035cfd7ba0e7b32562e091240f4f569c,PLANNED
15,r1-c04-b2,1,04,B2,S4,.,read-only,27d67cae9dd92b50bf5698fbc8bb006d035cfd7ba0e7b32562e091240f4f569c,PLANNED
16,r1-c04-b3,1,04,B3,S4,.,read-only,27d67cae9dd92b50bf5698fbc8bb006d035cfd7ba0e7b32562e091240f4f569c,PLANNED
17,r1-c05-b0,1,05,B0,S5,.,read-only,a47502b303c2c7cd77e11ab9c4e8d7510771166444a31223316d4d1db86250a5,PLANNED
18,r1-c05-b1,1,05,B1,S5,.,read-only,a47502b303c2c7cd77e11ab9c4e8d7510771166444a31223316d4d1db86250a5,PLANNED
19,r1-c05-b2,1,05,B2,S5,.,read-only,a47502b303c2c7cd77e11ab9c4e8d7510771166444a31223316d4d1db86250a5,PLANNED
20,r1-c05-b3,1,05,B3,S5,.,read-only,a47502b303c2c7cd77e11ab9c4e8d7510771166444a31223316d4d1db86250a5,PLANNED
21,r1-c06-b0,1,06,B0,S6,.,read-only,66f06c3310b0553f5f7dd7e2adad770bb907b30960da1565129b455dbf825cd1,PLANNED
22,r1-c06-b1,1,06,B1,S6,.,read-only,66f06c3310b0553f5f7dd7e2adad770bb907b30960da1565129b455dbf825cd1,PLANNED
23,r1-c06-b2,1,06,B2,S6,.,read-only,66f06c3310b0553f5f7dd7e2adad770bb907b30960da1565129b455dbf825cd1,PLANNED
24,r1-c06-b3,1,06,B3,S6,.,read-only,66f06c3310b0553f5f7dd7e2adad770bb907b30960da1565129b455dbf825cd1,PLANNED
25,r1-c07-b0,1,07,B0,S7,.,read-only,4d65c53beb3b82083dad8c94796c2ea192717c4c8ba75e1f336c9bdf702fa475,PLANNED
26,r1-c07-b1,1,07,B1,S7,.,read-only,4d65c53beb3b82083dad8c94796c2ea192717c4c8ba75e1f336c9bdf702fa475,PLANNED
27,r1-c07-b2,1,07,B2,S7,.,read-only,4d65c53beb3b82083dad8c94796c2ea192717c4c8ba75e1f336c9bdf702fa475,PLANNED
28,r1-c07-b3,1,07,B3,S7,.,read-only,4d65c53beb3b82083dad8c94796c2ea192717c4c8ba75e1f336c9bdf702fa475,PLANNED
29,r1-c08-b0,1,08,B0,S1,infra,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
30,r1-c08-b1,1,08,B1,S1,infra,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
31,r1-c08-b2,1,08,B2,S1,infra,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
32,r1-c08-b3,1,08,B3,S1,infra,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
33,r1-c09-b0,1,09,B0,S1,src/test,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
34,r1-c09-b1,1,09,B1,S1,src/test,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
35,r1-c09-b2,1,09,B2,S1,src/test,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
36,r1-c09-b3,1,09,B3,S1,src/test,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
37,r1-c10-b0,1,10,B0,S1,src/integrationTest,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
38,r1-c10-b1,1,10,B1,S1,src/integrationTest,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
39,r1-c10-b2,1,10,B2,S1,src/integrationTest,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
40,r1-c10-b3,1,10,B3,S1,src/integrationTest,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
41,r1-c11-b0,1,11,B0,X1,.,read-only,a1a988627906b1deb925a5809522fcc0959ba1a2a090152419631b18c68c8683,PLANNED
42,r1-c11-b1,1,11,B1,X1,.,read-only,a1a988627906b1deb925a5809522fcc0959ba1a2a090152419631b18c68c8683,PLANNED
