sequence,run_id,repetition,cell,candidate,scenario,cwd,sandbox,prompt_sha256,status
1,r1-l1-b0,1,L1,B0,S1,.,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
2,r1-l1-b1,1,L1,B1,S1,.,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
3,r1-l1-b2,1,L1,B2,S1,.,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
4,r1-l1-b3,1,L1,B3,S1,.,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
5,r1-l2-b0,1,L2,B0,X2,.,read-only,0c19e6b2119559d243b7abdeada15415754c8b87d25009e3c69ee812190f41c8,PLANNED
6,r1-l2-b1,1,L2,B1,X2,.,read-only,0c19e6b2119559d243b7abdeada15415754c8b87d25009e3c69ee812190f41c8,PLANNED
7,r1-l2-b2,1,L2,B2,X2,.,read-only,0c19e6b2119559d243b7abdeada15415754c8b87d25009e3c69ee812190f41c8,PLANNED
8,r1-l2-b3,1,L2,B3,X2,.,read-only,0c19e6b2119559d243b7abdeada15415754c8b87d25009e3c69ee812190f41c8,PLANNED
9,r1-l3-b0,1,L3,B0,X1,.,read-only,a1a988627906b1deb925a5809522fcc0959ba1a2a090152419631b18c68c8683,PLANNED
10,r1-l3-b1,1,L3,B1,X1,.,read-only,a1a988627906b1deb925a5809522fcc0959ba1a2a090152419631b18c68c8683,PLANNED
11,r1-l3-b2,1,L3,B2,X1,.,read-only,a1a988627906b1deb925a5809522fcc0959ba1a2a090152419631b18c68c8683,PLANNED
12,r1-l3-b3,1,L3,B3,X1,.,read-only,a1a988627906b1deb925a5809522fcc0959ba1a2a090152419631b18c68c8683,PLANNED
13,r2-l1-b1,2,L1,B1,S1,.,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
14,r2-l1-b2,2,L1,B2,S1,.,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
15,r2-l1-b3,2,L1,B3,S1,.,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
16,r2-l1-b0,2,L1,B0,S1,.,read-only,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,PLANNED
17,r2-l2-b1,2,L2,B1,X2,.,read-only,0c19e6b2119559d243b7abdeada15415754c8b87d25009e3c69ee812190f41c8,PLANNED
18,r2-l2-b2,2,L2,B2,X2,.,read-only,0c19e6b2119559d243b7abdeada15415754c8b87d25009e3c69ee812190f41c8,PLANNED
19,r2-l2-b3,2,L2,B3,X2,.,read-only,0c19e6b2119559d243b7abdeada15415754c8b87d25009e3c69ee812190f41c8,PLANNED
20,r2-l2-b0,2,L2,B0,X2,.,read-only,0c19e6b2119559d243b7abdeada15415754c8b87d25009e3c69ee812190f41c8,PLANNED
21,r2-l3-b1,2,L3,B1,X1,.,read-only,a1a988627906b1deb925a5809522fcc0959ba1a2a090152419631b18c68c8683,PLANNED
22,r2-l3-b2,2,L3,B2,X1,.,read-only,a1a988627906b1deb925a5809522fcc0959ba1a2a090152419631b18c68c8683,PLANNED
23,r2-l3-b3,2,L3,B3,X1,.,read-only,a1a988627906b1deb925a5809522fcc0959ba1a2a090152419631b18c68c8683,PLANNED
24,r2-l3-b0,2,L3,B0,X1,.,read-only,a1a988627906b1deb925a5809522fcc0959ba1a2a090152419631b18c68c8683,PLANNED
