sequence,run_id,repetition,cell,candidate,scenario,prompt_sha256,model,reasoning_effort,codex_version,candidate_commit,started_at,elapsed_seconds,first_input_tokens,first_cached_input_tokens,first_output_tokens,first_reasoning_output_tokens,total_input_tokens,total_cached_input_tokens,total_output_tokens,total_reasoning_output_tokens,combined_input_tokens,combined_cached_input_tokens,combined_output_tokens,combined_reasoning_output_tokens,child_calls,tool_calls,instruction_status,R_start_bytes,R_read_bytes,checklist_1,checklist_2,checklist_3,checklist_review_status,valid_run,runtime_evidence_status,summary_sha256,notes
1,r1-l1-b0,1,L1,B0,S1,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,gpt-5.6-sol,high,0.153.4,256a0dbcb7798904fa9ed4e44c2556016b5f56bd,2026-09-11T14:15:53.004801+00:00,77.01435204199515,23555,6528,189,0,123581,90496,3132,1137,123581,90496,3132,1137,0,3,unavailable,1753,0,PASS,PASS,PASS,REVIEWED_FROM_RAW_FINAL_AND_TOOLS,true,COMPARED,2e38e016d05c93012a47cd20ce7a8c9c31eb314873cfda75c7b687b00e5ba23c,summary_answer_checklist_retained_UNAVAILABLE;instruction_attribution_unavailable
2,r1-l1-b1,1,L1,B1,S1,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,gpt-5.6-sol,high,0.153.4,d13fd2f9057bfa80f6591dcb0f80a99e00ffdd79,2026-09-11T14:17:47.715588+00:00,99.27456941700075,20587,0,261,64,171332,135296,4226,2008,171332,135296,4226,2008,0,5,unavailable,1753,0,PASS,PASS,PASS,REVIEWED_FROM_RAW_FINAL_AND_TOOLS,true,COMPARED,9aba621cae19f9195d85a55a572e0f2a5053347a747f34dac878605aeab75644,summary_answer_checklist_retained_UNAVAILABLE;instruction_attribution_unavailable
3,r1-l1-b2,1,L1,B2,S1,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,gpt-5.6-sol,high,0.153.4,9b6ddcd4d15226a318a716e7286149fc7dd12029,2026-09-11T14:19:58.950930+00:00,295.50413691595895,20797,6528,263,101,241440,210048,5449,2502,241440,210048,5449,2502,0,6,unavailable,1753,4078,PASS,PASS,PASS,REVIEWED_FROM_RAW_FINAL_AND_TOOLS,true,COMPARED,86c5440ec3944766e816fdd2ff7f66815682bd8a894484a2ceeb98c55c60ce15,summary_answer_checklist_retained_UNAVAILABLE;instruction_attribution_unavailable
4,r1-l1-b3,1,L1,B3,S1,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,gpt-5.6-sol,high,0.153.4,8e0028b1729ad7ba8331d528ea15be4fbe9a0be0,2026-09-11T14:25:28.357652+00:00,97.7268173340126,20958,6528,345,74,222954,184832,4671,2349,222954,184832,4671,2349,0,6,unavailable,1753,3465,PASS,PASS,PASS,REVIEWED_FROM_RAW_FINAL_AND_TOOLS,true,COMPARED,842863aedf628a5b5a29bce88e524ab55122501cf409601a7b28776382bf5aa3,summary_answer_checklist_retained_UNAVAILABLE;instruction_attribution_unavailable
5,r1-l2-b0,1,L2,B0,X2,0c19e6b2119559d243b7abdeada15415754c8b87d25009e3c69ee812190f41c8,gpt-5.6-sol,high,0.153.4,256a0dbcb7798904fa9ed4e44c2556016b5f56bd,2026-09-11T14:27:39.226908+00:00,164.90986187499948,23570,6528,299,96,528983,458368,7069,3556,528983,458368,7069,3556,0,10,unavailable,1753,2245,PASS,PASS,PASS,REVIEWED_FROM_RAW_FINAL_AND_TOOLS,true,COMPARED,b55b66a3ffad2a57d70ec1020d34d018a0ee90b8a5baeb5105ad721de1f4466b,summary_answer_checklist_retained_UNAVAILABLE;instruction_attribution_unavailable
6,r1-l2-b1,1,L2,B1,X2,0c19e6b2119559d243b7abdeada15415754c8b87d25009e3c69ee812190f41c8,gpt-5.6-sol,high,0.153.4,d13fd2f9057bfa80f6591dcb0f80a99e00ffdd79,2026-09-11T14:31:02.920560+00:00,206.72805625002366,20642,0,273,81,412006,343808,7427,3631,412006,343808,7427,3631,0,10,unavailable,1753,4193,PASS,PASS,PASS,REVIEWED_FROM_RAW_FINAL_AND_TOOLS,true,COMPARED,e906cc3d9ec427458fb69f0ef84d13f98f8bc235efd9bd8cc7ce2354b676ff88,summary_answer_checklist_retained_UNAVAILABLE;instruction_attribution_unavailable
7,r1-l2-b2,1,L2,B2,X2,0c19e6b2119559d243b7abdeada15415754c8b87d25009e3c69ee812190f41c8,gpt-5.6-sol,high,0.153.4,9b6ddcd4d15226a318a716e7286149fc7dd12029,2026-09-11T14:35:03.375588+00:00,188.74820120900404,20812,12544,319,101,560743,502784,7592,3782,560743,502784,7592,3782,0,12,unavailable,1753,762,PASS,PASS,PASS,REVIEWED_FROM_RAW_FINAL_AND_TOOLS,true,COMPARED,0f4fe311873aa07a41ae6003d76fd6128331a1f80e3a6e040774d9e80acafd59,summary_answer_checklist_retained_UNAVAILABLE;instruction_attribution_unavailable
8,r1-l2-b3,1,L2,B3,X2,0c19e6b2119559d243b7abdeada15415754c8b87d25009e3c69ee812190f41c8,gpt-5.6-sol,high,0.153.4,8e0028b1729ad7ba8331d528ea15be4fbe9a0be0,2026-09-11T14:38:43.942287+00:00,120.00175449997187,20973,6528,261,69,170515,133632,5352,2490,170515,133632,5352,2490,0,5,unavailable,1753,2525,PASS,PASS,PASS,REVIEWED_FROM_RAW_FINAL_AND_TOOLS,true,COMPARED,f7c51c90d26e3e94f96c9352a31a81b4fccc5497ee907bb05edaa7d4dba1b101,summary_answer_checklist_retained_UNAVAILABLE;instruction_attribution_unavailable
9,r1-l3-b0,1,L3,B0,X1,a1a988627906b1deb925a5809522fcc0959ba1a2a090152419631b18c68c8683,gpt-5.6-sol,high,0.153.4,256a0dbcb7798904fa9ed4e44c2556016b5f56bd,2026-09-11T14:41:18.524393+00:00,172.52651825000066,23576,6528,266,77,336717,286080,7502,4079,336717,286080,7502,4079,0,8,unavailable,1753,31265,PASS,PASS,PASS,REVIEWED_FROM_RAW_FINAL_AND_TOOLS,true,COMPARED,a90be4bf41e5dad52ff2ceb3e5b440343d3662c999cd575cf5ca3b8aef2c065b,summary_answer_checklist_retained_UNAVAILABLE;instruction_attribution_unavailable
10,r1-l3-b1,1,L3,B1,X1,a1a988627906b1deb925a5809522fcc0959ba1a2a090152419631b18c68c8683,gpt-5.6-sol,high,0.153.4,d13fd2f9057bfa80f6591dcb0f80a99e00ffdd79,2026-09-11T14:44:41.124730+00:00,197.93984066700796,20608,6528,323,114,575310,525440,8289,3591,575310,525440,8289,3591,0,16,unavailable,1753,16988,PASS,PASS,PASS,REVIEWED_FROM_RAW_FINAL_AND_TOOLS,true,COMPARED,134fca7b03faf92556843b2932c2542ab8add0d20abfdf87bfe2fc0b752c5ad1,summary_answer_checklist_retained_UNAVAILABLE;instruction_attribution_unavailable
11,r1-l3-b2,1,L3,B2,X1,a1a988627906b1deb925a5809522fcc0959ba1a2a090152419631b18c68c8683,gpt-5.6-sol,high,0.153.4,9b6ddcd4d15226a318a716e7286149fc7dd12029,2026-09-11T14:48:35.670275+00:00,126.38113795802929,20818,12544,268,54,214449,179456,5344,2327,214449,179456,5344,2327,0,6,unavailable,1753,2172,PASS,PASS,PASS,REVIEWED_FROM_RAW_FINAL_AND_TOOLS,true,COMPARED,84825d201a76bcd2a6d38bb32c561b9cbade97e9a85d287a9fb48b34ca0a936e,summary_answer_checklist_retained_UNAVAILABLE;instruction_attribution_unavailable
12,r1-l3-b3,1,L3,B3,X1,a1a988627906b1deb925a5809522fcc0959ba1a2a090152419631b18c68c8683,gpt-5.6-sol,high,0.153.4,8e0028b1729ad7ba8331d528ea15be4fbe9a0be0,2026-09-11T14:51:21.900341+00:00,181.94681283296086,20979,12544,313,119,401284,346624,7480,3298,401284,346624,7480,3298,0,10,unavailable,1753,14533,PASS,PASS,PASS,REVIEWED_FROM_RAW_FINAL_AND_TOOLS,true,COMPARED,f14ba0924e19c10b55c3c1b39ef58842030fdbae0cf5be05f3024a0c94edb1c0,summary_answer_checklist_retained_UNAVAILABLE;instruction_attribution_unavailable
13,r2-l1-b1,2,L1,B1,S1,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,gpt-5.6-sol,high,0.153.4,d13fd2f9057bfa80f6591dcb0f80a99e00ffdd79,2026-09-11T14:55:00.119476+00:00,99.47952975000953,20587,6528,308,93,137807,100992,4211,1818,137807,100992,4211,1818,0,4,unavailable,1753,613,PASS,PASS,PASS,REVIEWED_FROM_RAW_FINAL_AND_TOOLS,true,COMPARED,0697e1f77523f947c5facb7bedb12b5ee88e83b38a23b35fd27299ab9795d9c4,summary_answer_checklist_retained_UNAVAILABLE;instruction_attribution_unavailable
14,r2-l1-b2,2,L1,B2,S1,621653ac30617aaf18f1640096377140a1b601f813c4ae8722594d175791d2ec,gpt-5.6-sol,high,0.153.4,9b6ddcd4d15226a318a716e7286149fc7dd12029,2026-09-11T14:57:14.270236+00:00,79.51360954198753,20797,6528,308,90,203483,134144,3648,1547,203483,134144,3648,1547,0,6,unavailable,1753,3465,PASS,PASS,PASS,REVIEWED_FROM_RAW_FINAL_AND_TOOLS,true,COMPARED,4208a4910bc2cc936d5a353e97bb6182d474ee1527a07b9feb4ca5cfd803cd22,summary_answer_checklist_retained_UNAVAILABLE;instruction_attribution_unavailable
