task,arm,index,model,effort,input_tokens,cached_input_tokens,uncached_input_tokens,cache_write_input_tokens,output_tokens,reasoning_output_tokens,seconds,result_version,result_sha256
F,Before,1,gpt-5.6-sol,high,2266171,2187776,78395,0,21891,6645,771.468465,v2,a68176915e2c2813d731e34b81e895c3068fb4e65ca56a097bb4042806f83955
F,After,2,gpt-5.6-sol,high,2723377,2645504,77873,0,20214,5970,749.558516,v3,813686bf6af9c86effc807470a0ab2c3878b4d53c8bb850d99ad37e4a0c0ae37
B,Before,4,gpt-5.6-sol,high,16237771,16073728,164043,0,27626,7561,1428.824232,v4,5630a8ae69b6f4100b693c5cd32f19ab3db761bece721045be33665f4362278d
B,After,3,gpt-5.6-sol,high,4063841,3946496,117345,0,20768,6968,1061.529095,v4,3f37f27367ef898b03639919b251f5d3a49b18bd304f4658cbce0abc8320bcb5
R,Before,5,gpt-5.6-sol,high,2049525,1971968,77557,0,15891,3084,685.413467,v5,3df82354d133cbb734fb20d60b0cd929002bfa5f3a1edb84918bd238a1a2a0fa
R,After,6,gpt-5.6-sol,high,4027423,3934848,92575,0,15212,3479,666.54402,v5,2e7b6815e60d2d4224a0ab78b96b86bf4295dee4be43c11b2ee78db541e639c4
A,Before,8,gpt-5.6-sol,high,455936,401536,54400,0,14623,4295,364.759254,v5,cd6865496fa03d10d3159e3dd9c7e8135eb5dfefacba26e6215bfd393dfee66f
A,After,7,gpt-5.6-sol,high,513523,466560,46963,0,16639,4815,505.220931,v5,a2c45391fc935fa9c887a23cd3f2c0ad77dd5d38b048d1cad630deca68fce4f1
Q,Before,9,gpt-5.6-sol,high,693669,636928,56741,0,8912,1933,361.279965,v5,7849400ce83c2016e3b6da2a93920b3429114d6a08cd5aa1d6c2361955fdd3f5
Q,After,10,gpt-5.6-sol,high,582059,534656,47403,0,11795,3543,403.895757,v5,9e6bf91570cf881c9d4bd00e40d2fa85e33f77aefeef013199ff1d37b3a68277
X,Before,12,gpt-5.6-sol,high,11867053,11722752,144301,0,36291,9513,1694.031706,v7,1b2f65c7290f0a772ae06386b22f5fc8b2b085631eac4e650069b4da12129ee2
X,After,11,gpt-5.6-sol,high,4884762,4772608,112154,0,30389,9830,2014.604924,v6,4a710a78782b121e7d5c284bda842c9af6a5df114851e3c591d9c431c4686752
